source_id	title	url	doi	license	verbatim_allowed	max_verbatim_words	storage_policy	notes
Longo2021SpatialSingleCell	Integrating single-cell and spatial transcriptomics to elucidate intercellular tissue dynamics	https://www.nature.com/articles/s41576-021-00370-8	10.1038/s41576-021-00370-8	Springer Nature standard license / unclear for reuse	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Use only metadata, move annotation, and short excerpts. Pattern: scRNA-seq cell identity without native spatial organization.
McKellar2022TotalTranscriptomeSpatial	Spatial mapping of the total transcriptome by in situ polyadenylation	https://www.nature.com/articles/s41587-022-01517-6	10.1038/s41587-022-01517-6	CC BY 4.0	yes	80	bounded_excerpts_allowed	Open access. Pattern: method limitation to polyadenylated transcripts motivates total-transcriptome extension.
Ge2021CopperCancer	Connecting copper and cancer: from transition metal signalling to metalloplasia	https://www.nature.com/articles/s41568-021-00417-2	10.1038/s41568-021-00417-2	Springer Nature standard license / unclear for reuse	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Use short excerpt only. Pattern: old copper cofactor model is challenged before cuproplasia/metalloplasia is introduced.
HerzigShaw2018AMPK	AMPK: guardian of metabolism and mitochondrial homeostasis	https://pmc.ncbi.nlm.nih.gov/articles/PMC5780224/	10.1038/nrm.2017.95	NIH public access manuscript; reuse license unclear	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Use metadata and action-verb annotation. Pattern: mechanism verbs carry judgment.
Emblem2014VesselCalibre	Vessel calibre: a potential MRI biomarker of tumour response in clinical trials	https://pmc.ncbi.nlm.nih.gov/articles/PMC4445139/	10.1038/nrclinonc.2014.126	PMC free article; reuse license unclear	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Pattern: cytostatic mechanism makes volume response criteria inadequate.
White2012AutophagyCancer	Deconvoluting the context-dependent role for autophagy in cancer	https://www.nature.com/articles/nrc3262	10.1038/nrc3262	Springer Nature standard license / unclear for reuse	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Use short excerpt only. Pattern: real contradiction opening around tumour-suppressive and tumour-promoting roles.
Giacomello2020MitochondrialDynamics	Mitochondrial membrane dynamics and organelle contacts	https://www.nature.com/articles/s41580-020-0234-2	10.1038/s41580-020-0234-2	Springer Nature standard license / unclear for reuse	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Pattern: precise uncertainty tied to missing formal proof.
Hanahan2022Hallmarks	Hallmarks of cancer: new dimensions	https://www.sciencedirect.com/science/article/pii/S0092867422000777	10.1016/j.cell.2022.02.005	publisher standard / unclear for reuse	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Pattern: framework compresses complexity after conceptual pressure is established.
Wang2022SingleCellSpatialIntegration	Integration of Computational Analysis and Spatial Transcriptomics in Single-cell Studies	https://pmc.ncbi.nlm.nih.gov/articles/PMC10372908/	10.1016/j.gpb.2022.06.006	CC BY 4.0	yes	80	bounded_excerpts_allowed	Open access. Pattern: computational integration value is constrained by interpretation and context limits.
ArxivSpatialVisualization2021	Analysis and visualization of spatial transcriptomic data	https://arxiv.org/abs/2110.07787		arXiv reuse unclear	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Pattern: tissue dissociation causes spatial information loss.
ClinicalTrialEndpointReview	Clinical and translational review endpoint boundary patterns	https://www.nature.com/articles/nrc1946	10.1038/nrc1946	Springer Nature standard license / unclear for reuse	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Pattern: distinguish objective response, benefit, predictive selection, and pharmacodynamic response.
Kobak2025ExcessVocabulary	Delving into LLM-assisted writing in biomedical publications through excess vocabulary	https://arxiv.org/abs/2406.07016	10.1126/sciadv.adt3813	Science Advances article / arXiv; store metadata and markers only	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Analyzed more than 15 million PubMed abstracts for abrupt style-word increases after LLM adoption.
Matsui2025PubMedTerms	Delving Into PubMed Records: How AI-Influenced Vocabulary has Transformed Medical Writing since ChatGPT	https://pubmed.ncbi.nlm.nih.gov/41356414/	10.5334/pme.1502	CC BY 4.0 per article/publisher metadata	yes	80	bounded_excerpts_allowed	Reports 135 potentially AI-influenced terms; 103 showed meaningful 2024 increases.
JuzekWard2024Delve	Why Does ChatGPT Delve So Much?	https://arxiv.org/abs/2412.11385		arXiv reuse unclear	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Frames lexical overrepresentation around focal terms such as delve, intricate, and underscore.
Nature2023RegenerateResponse	Nature report on Regenerate response in a Physica Scripta manuscript	https://www.nature.com/articles/d41586-023-03235-8		Nature news / copyrighted	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Failure case: visible ChatGPT UI artifact survived into a published manuscript.
RetractionWatch2023RegenerateResponse	Signs of undeclared ChatGPT use in papers mounting	https://retractionwatch.com/2023/10/06/signs-of-undeclared-chatgpt-use-in-papers-mounting/		copyrighted blog; short excerpt only	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Failure case: production trace and ChatGPT button label survived author/editor/reviewer workflow.
Haider2024GPTFabricatedPapers	GPT-fabricated scientific papers on Google Scholar	https://misinforeview.hks.harvard.edu/article/gpt-fabricated-scientific-papers-on-google-scholar-key-features-spread-and-implications-for-preempting-evidence-manipulation/	10.37016/mr-2020-156	HKS Misinformation Review; verify before reuse	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Failure case: fabricated scientific-looking publications indexed by Google Scholar.
Nature2026HallucinatedCitations	Hallucinated citations are polluting the scientific literature	https://www.nature.com/articles/d41586-026-00969-z	10.1038/d41586-026-00969-z	Nature news / copyrighted	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Reports tens of thousands of 2025 publications may contain invalid AI-generated references.
Nature2026FakeCitationAudit	Surge in fake citations uncovered by audit of 2.5 million biomedical science papers	https://www.nature.com/articles/d41586-026-00748-w	10.1038/d41586-026-00748-w	Nature news / copyrighted	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Failure case: biomedical papers with untraceable fake references.
Nature2026ArxivBan	Researchers who use hallucinated references to face arXiv ban	https://www.nature.com/articles/d41586-026-01595-5	10.1038/d41586-026-01595-5	Nature news / copyrighted	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Failure case: hallucinated references and visible LLM comments trigger submission sanctions.
GroundedAI2026HallucinatedCitations	Hallucinated Citations in the Published Scientific Literature	https://groundedai.company/research/hallucinated-citations-nature-2026/		company research page; verify before reuse	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Reports collaboration with Nature and manual validation of high-risk publications.
Arxiv2026CompoundDeception	Compound Deception in Elite Peer Review	https://arxiv.org/abs/2602.05930		arXiv reuse unclear	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Taxonomy of hallucinated citation failure modes in NeurIPS 2025 papers.
Arxiv2026LLMHallucinationsCitations	LLM hallucinations in the wild: Large-scale evidence from non-existent citations	https://arxiv.org/abs/2605.07723		arXiv reuse unclear	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Large-scale analysis of non-existent citations and credit distortion.
HKUSTLibraryAIWritingEvidence	Library/integrity lists of papers with evidence of AI writing	https://library.hkust.edu.hk/sc/ai-tools/ai-writing-papers/		webpage; verify before reuse	short_excerpt_only	25	metadata_annotation_short_excerpt_only	Used only as source-family metadata for discoverable LLM traces.
